date|site|wing|minutes|doarama|comments
2018-07-07|Abert Rim|BGD Epic|15||Hike and fly with Evan and Alex. Light thermals, accidentally bumped my vario and turned it off during launch and ended up sinking out (booo!). Was really happy with my smooth, centered landing in the LZ (road with guardrail before, lake to the left and behind, rocks and shrubs to the right).
2018-07-17|The Dumps|BGD Epic|30||
2018-07-22|Dillon Point|BGD Epic|20||First time flying Dillon Point.
2018-07-25|The Dumps|BGD Epic|30||
2018-07-28|Ed Levin|BDG Epic|15||First flight from the 1750, got a little bit of lift over the 600 but not much.
2018-07-28|Ed Levin|BDG Epic|2||
2018-07-28|Ed Levin|BDG Epic|2||
2018-07-28|Ed Levin|BDG Epic|3||
2018-08-02|The Dumps|BGD Epic|30|2378126|Foggy dumpy day.
2018-08-11|Ed Levin|BGD Epic|3||600
2018-08-11|Ed Levin|BGD Epic|4||P3 spot, 600
2018-08-11|Ed Levin|BGD Epic|4||600
2018-08-12|Ed Levin|BGD Epic|6||Morning sledder from 1750 with Ziv, Pierre, and Greg. P3 spot landing.
2018-08-12|Ed Levin|BGD Epic|8||Second 1750 of the day, few small bumps of lift.
2018-08-12|Ed Levin|BGD Epic|10||Third 1750 of the day, thermalled with Greg above 300 for a bit.
2018-08-18|The Dumps|BGD Epic|4||Sledder
2018-08-18|The Dumps|BGD Epic|4||Sledder
2018-08-18|The Dumps|BGD Epic|4||Sledder
2018-08-18|The Dumps|BGD Epic|4||Sledder
2018-08-19|Ed Levin|BGD Epic|6||1750 sledder, light wind. Followed the ridge on the right until the wall of rocks. Next time fly more above the ridge.
2018-08-19|Ed Levin|BGD Epic|10||1750, light wind. Headed for the 1200, should have gone a little past it to find some lift.
2018-08-19|The Dumps|BGD Epic|70|2428829|First Walker top landing, 14 WSW, low ceiling
2018-08-19|The Dumps|BGD Epic|15||Second Walker top landing, 14 WSW, low ceiling
2018-08-19|The Dumps|BGD Epic|3||Third Walker top landing, 14 WSW, low ceiling
2018-08-19|The Dumps|BGD Epic|30||Last flight of the day.
2018-08-23|The Dumps|BGD Epic|7||10 SW, launched from Coyote, few passes of Walker ridge, out around the corner and back. Ended up sinking out and landing on the path near the water.
2018-08-24|The Dumps|BGD Epic|90||12 W, flying with Sean and Nicole. Lots of rotor near Walker when attempting to top land.
2018-08-31|The Dumps|BGD Epic|80||13 SW, super smooth Walker top landing
2018-08-31|The Dumps|BGD Epic|15||15 W, rough Walker top landing, wing had a bit too much energy coming around and the wind switched to straight W from SW right when I made the turn to face into the wind. Ended up doing a bit of a crosswind landing and ended up on my knees when I touched down.
2018-08-31|The Dumps|BGD Epic|20||15 SW, pretty smooth walker top landing, took a few tries to get down.
2018-08-31|The Dumps|BGD Epic|5||16 W, winds picking up quite a bit, white caps out on the water, landed and kited in ~18mph in the kiting area. Was able to launch from the kiting area and get 10-15 feet into the air.
2018-08-31|The Dumps|BGD Epic|60||13 SW
2018-08-31|The Dumps|BGD Epic|30||13 SW, Walker top landing
2018-08-31|The Dumps|BGD Epic|10||13 SW, Walker top landing
2018-08-31|The Dumps|BGD Epic|7||13 SW, Walker top landing
2018-08-31|The Dumps|BGD Epic|8||13 SW, Walker top landing
2018-08-31|The Dumps|BGD Epic|20||13 SW, Walker top landing
2018-08-31|The Dumps|BGD Epic|30||13 SW
2018-09-03|Ed Levin|BGD Epic|5||600
2018-09-03|Ed Levin|BGD Epic|7||600
2018-09-03|Ed Levin|BGD Epic|6||600
2018-09-03|The Dumps|BGD Epic|55||15 SW
2018-09-22|Ed Levin|BGD Epic|10||1750
2018-09-22|Ed Levin|BGD Epic|12||1750
2018-10-06|Blue Rock|BGD Epic|65||First Blue Rock flight.
2018-10-13|The Dumps|BGD Epic|60||14 SW, flew up above Green Giant a few times.
2018-10-21|The Dumps|BGD Epic|25||11 WNW
2018-10-21|The Dumps|BGD Epic|60||13 WNW, Flight with parents (tandem with Bonnie)
2018-10-21|The Dumps|BGD Epic|45||12 WNW
2018-10-22|The Dumps|BGD Epic|50||12 WNW
2018-11-12|Alto Hospicio|BGD Epic|50||Thermic
2018-11-12|Palo Buque|BGD Epic|150||13 SW
2018-11-13|Alto Hospicio|BGD Epic||90|Thermic
2018-11-13|Palo Buque|BGD Epic|30||10 SW
2018-11-13|Palo Buque|BGD Epic|90||10 SW
2018-11-13|Palo Buque|BGD Epic|20||10 SW
2018-11-14|Alto Hospicio|BGD Epic|70||7 W? Scratched the north ridge for a while.
2018-11-14|Alto Hospicio|BGD Epic|90||Launch, house thermal, mine, back to launch, power lines, to beach.
2018-11-15|Palo Buque|BGD Epic|5||Light winds, wasn't able to get up above first ridge.
2018-11-16|Alto Hospicio|BGD Epic|135||6 WSW, XC flight from Alto Hospicio to Palo Buque with Dave!
2018-11-16|Palo Buque|BGD Epic|45||10 SW, late afternoon flight at Palo Buque, worked south two ridges but very turbulent.
2018-11-17|Alto Hospicio|BGD Epic|40||10 SW, worked north to cross, got caught in venturi coming back around corner, really bad glide over city to hotel beach. Was getting 1:1 glide at one point.
2018-11-24|Sand City|BGD Epic|60||First time flying sand city
2018-11-24|Sand City|BGD Epic|25||
2018-11-24|Sand City|BGD Epic|20||
2019-03-16|The Dumps|BGD Epic|70||16 WNW, toe dragging through the ice grass.
2019-03-16|The Dumps|BGD Epic|35||16 WNW, top land at lemmings
2019-03-16|The Dumps|BGD Epic|10||16 WNW, another lemmings top landing
2019-03-16|The Dumps|BGD Epic|15||16 WNW
2019-04-14|Lake Court|BGD Epic|90||First time flying Lake Court
2019-04-14|Lake Court|BGD Epic|10||
2019-04-21|The Dumps|BGD Epic|60||Birthday flight
2019-04-21|The Dumps|BGD Epic|10||Lemmings to landing
2019-04-21|The Dumps|BGD Epic|5||Lemmings to landing
2019-04-21|The Dumps|BGD Epic|5||Lemmings to landing
2019-04-21|The Dumps|BGD Epic|5||Lemmings to landing
2019-04-21|The Dumps|BGD Epic|5||Lemmings to landing
2019-04-21|The Dumps|BGD Epic|6||Lemmings to landing
2019-04-21|The Dumps|BGD Epic|5||Lemmings to landing
2019-04-21|The Dumps|BGD Epic|5||Lemmings to landing
2019-04-21|The Dumps|BGD Epic|3||Sunk out, landed low on the path
2019-04-28|Ed Levin|Phi Maestro 22|6||600, light thermal over center fields
2019-04-28|Ed Levin|Phi Maestro 22|4||600, mellow spirals, getting feel for wing
2019-04-28|Ed Levin|Phi Maestro 22|7||1750, speedbar, mellow wing overs
2019-04-28|Ed Levin|Phi Maestro 22|7||1750, speedbar, mellow wing overs, mild spiral
2019-05-03|Lake Berryessa|BGD Epic|15||SIV Pitch control, B-stall, frontol collapse, asymmetric collapse, big ear speedbar wingover
2019-05-03|Lake Berryessa|BGD Epic|15||SIV Autorotation, wingover
2019-05-03|Lake Berryessa|BGD Epic|15||SIV Dynamic turn, autorotation
2019-05-03|Lake Berryessa|BGD Epic|15||SIV Autorotation, wingover
2019-05-04|Lake Berryessa|BGD Epic|15||SIV Wingover
2019-05-04|Lake Berryessa|BGD Epic|10||SIV Spiral dive
2019-05-04|Lake Berryessa|BGD Epic|15||SIV Full stall
2019-05-05|Lake Berryessa|BGD Epic|15||SIV Stalls for breakfast
2019-05-05|Lake Berryessa|BGD Epic|15||SIV 90 spin point, spin to back fly
2019-05-05|Lake Berryessa|BGD Epic|15||SIV Speedbar frontal, speedbar asymmetric, SAT
2019-05-12|The Dumps|BGD Epic|60||
2019-05-12|The Dumps|BGD Epic|15||
2019-05-12|The Dumps|BGD Epic|20||
2019-05-12|The Dumps|BGD Epic|5||
2019-05-24|The Dumps|BGD Epic|30||
2019-06-01|Ed Levin|Phi Maestro 23|6||600
2019-06-01|Ed Levin|Phi Maestro 23|8||600
2019-06-01|Ed Levin|Phi Maestro 23|27||1750
2019-06-02|Ed Levin|Phi Maestro 23|20||1750
2019-06-02|Ed Levin|Phi Maestro 23|54||1750
2019-06-15|The Dumps|BGD Epic|50||
2019-06-22|Santa Pola|Phi Maestro 23|60||
2019-06-22|Santa Pola|Phi Maestro 23|85||
2019-06-24|Palomaret|Phi Maestro 23|80||
2019-06-24|Palomaret|Phi Maestro 23|20||
2019-06-24|Palomaret|Phi Maestro 23|60||
2019-06-25|Unknown|Phi Maestro 23|23||Windmills
2019-06-25|Unknown|Phi Maestro 23|27||Windmills OTB
2019-06-26|Santa Pola|Phi Maestro 23|50||
2019-06-28|Santa Pola|Phi Maestro 23|5||
2019-06-29|Palomaret|Phi Maestro 23|120||
2019-07-05|The Dumps|BGD Epic|10||Cheetah
2019-07-05|The Dumps|BGD Epic|20||Cheetah
2019-07-06|The Dumps|Phi Maestro 23|60||
2019-07-07|The Dumps|Phi Maestro 23|20||
2019-07-15|Torrey Pines|Phi Maestro 23|30||
2019-07-20|Ed Levin|Phi Maestro 23|6||600
2019-07-20|Ed Levin|Phi Maestro 23|13||1750
2019-07-20|Ed Levin|Phi Maestro 23|28||1750
2019-07-21|Ed Levin|Phi Maestro 23|14||1750
2019-07-21|Ed Levin|Phi Maestro 23|18||1750
2019-07-21|Ed Levin|Phi Maestro 23|25||1750
2019-07-27|Ed Levin|Phi Maestro 23|10||600
2019-07-27|Ed Levin|Phi Maestro 23|5||600
2019-07-28|Ed Levin|Phi Maestro 23|5||600
2019-07-28|Ed Levin|Phi Maestro 23|8||600
2019-07-28|Ed Levin|Phi Maestro 23|15||1750
2019-08-02|Lake Berryessa|Phi Maestro 23|15||Tow: accellerated asymetric, stall, wingovers
2019-08-02|Lake Berryessa|Niviuk Hook 4|15||Stall, stall, stall
2019-08-02|Lake Berryessa|Phi Maestro 23|15||Stall, stall, stall
2019-08-03|Lake Berryessa|Phi Maestro 23|15||Spin quick exit
2019-08-03|Lake Berryessa|Phi Maestro 23|15||Spiral, wingovers
2019-08-04|Lake Berryessa|Phi Maestro 23|15||Speedbar pitch control, acro stall, accellerated asymetric
2019-08-04|Lake Berryessa|Phi Maestro 23|15||Speedbar + rear riser pitch to frontal, stall
2019-08-10|Ed Levin|Phi Maestro 23|11||
2019-08-10|Ed Levin|Phi Maestro 23|23||
2019-08-20|The Dumps|Phi Maestro 23|20||Cheetah strong day
2019-08-24|Tollhouse, CA|Phi Maestro 23|45||Launched at noon
2019-08-24|Tollhouse, CA|Phi Maestro 23|60||Glass off
2019-08-25|Tollhouse, CA|Phi Maestro 23|60||Mid-day flight, +6.5
2019-09-14|Potato Hill|Phi Maestro 23|74||
2019-09-29|y|Phi Maestro 23|61||
2019-10-06|Ed Levin|Phi Maestro 23|20||
2019-10-06|Ed Levin|Phi Maestro 23|19||
2019-10-12|x|Phi Maestro 23|54||
2019-10-13|x|Phi Maestro 23|51||
2020-01-04|Santa Barbara|Phi Maestro 23|26||
2020-01-12|The Dumps|Phi Maestro 23|120||
2020-01-12|The Dumps|Phi Maestro 23|60||
2020-01-17|Santa Barbara|Phi Maestro 23|42||
2020-01-18|Santa Barbara|Phi Maestro 23|37||
2020-01-26|The Dumps|Phi Maestro 23|90||
2020-01-26|The Dumps|Phi Maestro 23|30||
2020-01-31|Pokhara|Phi Maestro 23|36||
2020-02-01|Pokhara|Phi Maestro 23|111||
2020-02-02|Pokhara|Phi Maestro 23|15||
2020-02-06|Pokhara|Phi Maestro 23|10||
2020-02-06|Pokhara|Phi Maestro 23|10||
2020-02-06|Pokhara|Phi Maestro 23|10||
2020-02-07|Pokhara|Phi Maestro 23|10||
2020-02-07|Pokhara|Phi Maestro 23|10||
2020-02-08|Pokhara|Phi Maestro 23|80||
2020-02-09|Pokhara|Phi Maestro 23|163||Green wall and back
